state,land_size_km^2,year,sex,age,ethnicity,population_thousands,population_density
Johor,19210,2022,both,overall,overall,4028.3,209.6980739
Kedah,9500,2022,both,overall,overall,2163.1,227.6947368
Kelantan,15099,2022,both,overall,overall,1830.6,121.2398172
Melaka,1664,2022,both,overall,overall,1008.6,606.1298077
Negeri Sembilan,6686,2022,both,overall,overall,1207.9,180.6610829
Pahang,36137,2022,both,overall,overall,1614.3,44.67166616
Perak,21035,2022,both,overall,overall,2514.4,119.5341098
Perlis,821,2022,both,overall,overall,289.8,352.9841657
Pulau Pinang,1049,2022,both,overall,overall,1740.9,1659.580553
Sabah,73904,2022,both,overall,overall,3414.9,46.20724183
Sarawak,124450,2022,both,overall,overall,2473.5,19.87545199
Selangor,8104,2022,both,overall,overall,7050.3,869.9777887
Terengganu,13035,2022,both,overall,overall,1186.6,91.03183736
W.P. Kuala Lumpur,243,2022,both,overall,overall,1961.2,8070.781893
W.P. Labuan,92,2022,both,overall,overall,96.9,1053.26087
W.P. Putrajaya,49,2022,both,overall,overall,117,2387.755102
